name,price,description,image,category,subcategory,brand,stock,sku,weight,tags,features
iPhone 15 Pro,82999,"Latest iPhone with A17 Pro chip, titanium design, and advanced camera system","https://picsum.photos/seed/iphone15pro/300/300.jpg",Electronics,Smartphones,Apple,50,IP15PRO-001,0.2,"premium,smartphone,5G","A17 Pro chip,48MP camera,Titanium build"
Samsung Galaxy S24,74999,"Flagship Android phone with stunning display and powerful performance","https://picsum.photos/seed/galaxys24/300/300.jpg",Electronics,Smartphones,Samsung,45,SGS24-002,0.21,"android,flagship,5G","6.8\" AMOLED,5000mAh battery,50MP zoom"
MacBook Pro M3,199999,"Professional laptop with M3 chip, perfect for creative work","https://picsum.photos/seed/macbookpro/300/300.jpg",Electronics,Laptops,Apple,30,MBP-M3-003,1.4,"laptop,professional,apple","14\" Liquid Retina,18GB RAM,1TB SSD"
Dell XPS 15,149999,"High-performance Windows laptop with stunning 4K display","https://picsum.photos/seed/dellxps15/300/300.jpg",Electronics,Laptops,Dell,25,XPS15-004,2.1,"laptop,windows,4K","15.6\" 4K OLED,Intel i7,32GB RAM"
Sony WH-1000XM5,32999,"Industry leading noise cancelling headphones with exceptional sound","https://picsum.photos/seed/sonyheadphones/300/300.jpg",Electronics,Audio,Sony,60,WH1000XM5-005,0.25,"headphones,noise-cancelling,premium","30hr battery,Hi-Res Audio,Multi-point"
iPad Air 5,49999,"Versatile tablet with M1 chip for work and play","https://picsum.photos/seed/ipadair/300/300.jpg",Electronics,Tablets,Apple,40,IPAD-AIR-006,0.46,"tablet,apple,m1","10.9\" display,64GB,Touch ID"
Samsung 65" QLED TV,109999,"Stunning 4K QLED TV with smart features","https://picsum.photos/seed/qledtv/300/300.jpg",Electronics,TVs,Samsung,15,QLED65-007,25.5,"tv,4k,smart","4K QLED,Smart TV,HDR10+"
Canon EOS R6,209999,"Full-frame mirrorless camera with advanced autofocus","https://picsum.photos/seed/canoncamera/300/300.jpg",Electronics,Cameras,Canon,12,EOSR6-008,0.68,"camera,mirrorless,professional","20MP full-frame,4K video,Dual AF"
Nintendo Switch,24999,"Hybrid gaming console for home and portable play","https://picsum.photos/seed/nintendoswitch/300/300.jpg",Electronics,Gaming,Nintendo,35,SWITCH-009,0.4,"gaming,portable,console","Hybrid console,Joy-Con controllers,32GB storage"
Apple Watch Series 9,34999,"Advanced smartwatch with health and fitness tracking","https://picsum.photos/seed/applewatch/300/300.jpg",Electronics,Wearables,Apple,55,AW9-010,0.12,"smartwatch,fitness,apple","Always-On display,Blood oxygen sensor,Water resistant"
Nike Air Max 90,10999,"Classic sneakers with iconic design and superior comfort","https://picsum.photos/seed/nikeairmax/300/300.jpg",Clothing,Footwear,Nike,80,AIRMAX90-007,0.32,"shoes,sneakers,classic","Air Max cushioning,Leather upper,Rubber outsole"
Levi's 501 Jeans,6999,"Original straight fit jeans, timeless American style","https://picsum.photos/seed/levis501/300/300.jpg",Clothing,Jeans,Levi's,120,501-008,0.5,"jeans,casual,classic","100% cotton,Straight fit,Button fly"
Adidas Ultraboost 22,15999,"Premium running shoes with responsive cushioning","https://picsum.photos/seed/ultraboost/300/300.jpg",Clothing,Footwear,Adidas,65,ULTRA22-009,0.31,"running,shoes,performance","Boost midsole,Primeknit upper,Continental rubber"
H&M Cotton T-Shirt,1499,"Essential crew neck t-shirt in various colors","https://picsum.photos/seed/hmtshirt/300/300.jpg",Clothing,Tops,H&M,200,TSHIRT-010,0.15,"t-shirt,casual,basic","100% cotton,Regular fit,Crew neck"
Zara Blazer,7499,"Elegant blazer perfect for business and casual occasions","https://picsum.photos/seed/zarablazer/300/300.jpg",Clothing,Jackets,Zara,45,BLAZER-011,0.4,"blazer,formal,versatile","Polyester blend,Notch lapel,Two pockets"
North Face Jacket,20999,"Waterproof jacket for outdoor adventures","https://picsum.photos/seed/northfacejacket/300/300.jpg",Clothing,Jackets,North Face,35,NFJ-012,0.68,"jacket,outdoor,waterproof","Gore-Tex fabric,Hood included,Adjustable cuffs"
Puma Sweatpants,4499,"Comfortable fleece sweatpants for lounging","https://picsum.photos/seed/pumasweatpants/300/300.jpg",Clothing,Bottoms,Puma,90,SWEAT-013,0.35,"pants,comfortable,casual","Fleece lining,Elastic waistband,Side pockets"
Under Armour Sports Bra,3499,"High-support sports bra for intense workouts","https://picsum.photos/seed/sportsbra/300/300.jpg",Clothing,Activewear,Under Armour,75,BRA-014,0.12,"sports,activewear,support","Moisture-wicking,High support,Breathable mesh"
Gap Hoodie,5299,"Classic pullover hoodie with kangaroo pocket","https://picsum.photos/seed/gaphoodie/300/300.jpg",Clothing,Tops,Gap,110,HOODIE-015,0.45,"hoodie,casual,comfortable","Cotton blend,Kangaroo pocket,Ribbed cuffs"
Converse Chuck Taylor,5299,"Iconic canvas sneakers with timeless style","https://picsum.photos/seed/conversechucks/300/300.jpg",Clothing,Footwear,Converse,95,CHUCK-016,0.28,"shoes,canvas,classic","Canvas upper,Rubber sole,High-top design"
Fresh Organic Apples,299,"Crisp and sweet organic apples, perfect for snacking","https://picsum.photos/seed/organicapples/300/300.jpg",Grocery,Fruits,Local Farm,100,APPLES-017,0.2,"fruit,organic,fresh","Hand-picked,No pesticides,Locally grown"
Whole Milk,89,"Farm-fresh whole milk from grass-fed cows","https://picsum.photos/seed/wholemilk/300/300.jpg",Grocery,Dairy,Local Farm,150,MILK-018,1.0,"dairy,fresh,natural","Pasteurized,3.25% fat,Vitamin D"
Organic Eggs,449,"Free-range organic eggs from happy chickens","https://picsum.photos/seed/organiceggs/300/300.jpg",Grocery,Dairy,Happy Chickens,80,EGGS-019,0.6,"eggs,organic,protein","12 eggs per carton,Free-range,No hormones"
Whole Wheat Bread,199,"Nutritious whole wheat bread for healthy meals","https://picsum.photos/seed/wholewheatbread/300/300.jpg",Grocery,Bakery,Local Bakery,90,BREAD-020,0.5,"bread,healthy,whole-grain","100% whole wheat,No preservatives,Fresh daily"
Bananas,149,"Sweet and creamy bananas, rich in potassium","https://picsum.photos/seed/bananas/300/300.jpg",Grocery,Fruits,Tropical Imports,120,BANANAS-021,0.25,"fruit,tropical,healthy","Fair trade,Ripe and ready,High in potassium"
Organic Tomatoes,399,"Vine-ripened organic tomatoes, perfect for salads","https://picsum.photos/seed/organictomatoes/300/300.jpg",Grocery,Vegetables,Green Valley,70,TOMATOES-022,0.15,"vegetables,organic,fresh","Pesticide-free,Vine-ripened,Local farm"
Chicken Breast,699,"Premium boneless chicken breast, high in protein","https://picsum.photos/seed/chickenbreast/300/300.jpg",Grocery,Meat,Local Butcher,60,CHICKEN-023,0.5,"meat,protein,fresh","Hormone-free,Boneless,Lean cuts"
Greek Yogurt,349,"Creamy Greek yogurt, high in protein","https://picsum.photos/seed/greekyogurt/300/300.jpg",Grocery,Dairy,Dairy Fresh,85,YOGURT-024,0.32,"dairy,protein,healthy","10% fat,Live cultures,No artificial flavors"
